continent	region	country	population	density	% urban	% growth	birth rate	death rate	fertility	under 5 mortaility
Asia	Western Asia	Occupied Palestinian Territory	3557.5	572.6	67.7	3.6	38.8	4.3	5.6	24.2
Asia	Western Asia	Oman	2851	13.4	77.6	2.9	31.8	3.3	5	23
Asia	Western Asia	Qatar	610.1	55.5	93.3	1.5	17.4	3.7	3.2	14.6
Asia	Western Asia	Saudi Arabia	24217	11.3	87.7	2.9	31.5	3.7	4.5	24.1
Asia	Western Asia	Syrian Arab Republic	17799.5	96.1	52.5	2.4	27.7	3.9	3.3	26.3
Asia	Western Asia	Turkey	71325.2	91.5	67	1.4	20.9	6	2.4	49.5
Asia	Western Asia	United Arab Emirates	2994.8	35.8	88.1	1.9	16.7	2.4	2.8	15.4
Asia	Western Asia	Yemen	20010.3	37.9	25.6	3.5	45	9.2	7	97.6
Europe	Eastern Europe	Belarus	9895.1	47.7	69.9	-0.5	8.8	13.2	1.2	14.8
Europe	Eastern Europe	Bulgaria	7896.5	71.2	67.4	-0.8	7.9	15.1	1.1	19.2
Europe	Eastern Europe	Czech Republic	10235.5	129.8	74.6	-0.1	8.8	10.8	1.2	5.9
Europe	Eastern Europe	Hungary	9876.9	106.2	65.4	-0.5	8.8	13.5	1.2	11
Europe	Eastern Europe	Poland	38587.3	119.4	63	-0.1	9.6	10	1.3	10.7
Europe	Eastern Europe	Republic of Moldova	4266.6	126.6	41.6	-0.1	11.5	10.7	1.4	23.6
Europe	Eastern Europe	Romania	22333.9	94	55.6	-0.2	10.4	12.5	1.3	24.7
Europe	Eastern Europe	Russian Federation	143246.2	8.4	72.9	-0.6	8.6	14.6	1.1	22
Europe	Eastern Europe	Slovakia	5402.4	110.2	58	0.1	10.2	9.8	1.3	10
Europe	Eastern Europe	Ukraine	48523.1	80.4	68.1	-0.8	8.4	14.2	1.2	17.9
Europe	Northern Europe	Channel Islands	144.8	742.7	28.9	0.1	10.9	10.1	1.5	6.5
Europe	Northern Europe	Denmark	5363.8	124.5	85.1	0.2	11.8	11.3	1.8	6.5
Europe	Northern Europe	Estonia	1323.1	29.3	69.4	-1.1	8.7	13.6	1.2	11.4
Europe	Northern Europe	Faeroe Islands	46.8	33.5	39.5	0.7	NA	NA	NA	NA
Europe	Northern Europe	Finland	5206.7	15.4	58.6	0.2	10.8	9.8	1.7	4.8
Europe	Northern Europe	Iceland	289.6	2.8	93	0.8	14.1	6.9	2	4.2
Europe	Northern Europe	Ireland	3955.6	56.3	59.8	1.1	14.4	8.3	1.9	7
Europe	Northern Europe	Isle of Man	74.8	127.2	77.4	0.5	NA	NA	NA	NA
Europe	Northern Europe	Latvia	2307.5	35.8	59.9	-0.9	7.8	13.6	1.1	17.7
Europe	Northern Europe	Lithuania	3443.6	52.8	68.9	-0.6	8.8	11.6	1.3	11.3
Europe	Northern Europe	Norway	4533.1	14	75.5	0.4	12	9.9	1.8	5.9
Europe	Northern Europe	Sweden	8876.2	19.7	83.3	0.1	10.3	10.6	1.6	4.3
Europe	Northern Europe	United Kingdom	59250.6	242.7	89.7	0.3	11	10.4	1.6	6.5
Europe	Southern Europe	Albania	3166.2	110.1	44.2	0.7	18.2	5.4	2.3	34.1
Europe	Southern Europe	Andorra	71.2	157.2	91.7	2.6	NA	NA	NA	NA
Europe	Southern Europe	Bosnia and Herzegovina	4161.5	81.4	44.3	1.1	9.7	8.1	1.3	15.7
Europe	Southern Europe	Croatia	4427.9	78.3	59	-0.2	11.1	11.8	1.7	9.2
Europe	Southern Europe	Gibraltar	27.2	4541.5	100	0.1	NA	NA	NA	NA
Europe	Southern Europe	Greece	10976.3	83.2	60.8	0.1	9.1	10.5	1.3	7.7
Europe	Southern Europe	Holy See	0.8	1784.1	100	0	NA	NA	NA	NA
Europe	Southern Europe	Italy	57423	190.6	67.4	-0.1	8.8	10.9	1.2	6.6
Europe	Southern Europe	Malta	394.3	1247.7	91.7	0.4	11.8	7.9	1.8	8.3
Europe	Southern Europe	Portugal	10061.5	108.9	68.3	0.1	11	10.8	1.5	8.1
Europe	Southern Europe	San Marino	27.6	452.4	90.7	1	NA	NA	NA	NA
Europe	Southern Europe	Serbia and Montenegro	10526.8	103	52	-0.1	11.7	10.6	1.7	15.3
