country	Continent	Region	pop	density	pct.urban	pct.gr	br	dr	fert	under.5.mort
Cambodia	Asia	South-eastern Asia	14143.5	78.1	18.6	2.4	33.9	10	4.8	107.1
Dem. Republic of Timor-Leste	Asia	South-eastern Asia	778.2	52.3	7.6	4	23.8	13.2	3.8	182.6
Indonesia	Asia	South-eastern Asia	219883.5	115.5	44.1	1.3	20.7	7.3	2.4	52.3
Lao People's Dem. Republic	Asia	South-eastern Asia	5657.3	23.9	20.6	2.3	35.6	12.6	4.8	140.6
Malaysia	Asia	South-eastern Asia	24424.6	74.1	59.5	1.9	22.6	4.6	2.9	13
Myanmar	Asia	South-eastern Asia	49485.5	73.1	29.1	1.3	23.9	11.2	2.9	127.7
Philippines	Asia	South-eastern Asia	79999	266.7	61	1.8	25.3	5.1	3.2	35
Singapore	Asia	South-eastern Asia	4252.8	6881.6	100	1.7	10.2	5.2	1.4	4
Thailand	Asia	South-eastern Asia	62833.3	122.5	20.4	1	17.3	7.1	1.9	24.9
Viet Nam	Asia	South-eastern Asia	81376.7	245.3	25.4	1.3	20.2	6.4	2.3	44.8
Western Asia	Asia	Western Asia	204702.7	43.3	65.4	2.1	26.8	6.1	3.4	56.6
Armenia	Asia	Western Asia	3060.9	102.7	67.4	-0.5	9.7	7.7	1.2	19.8
Azerbaijan	Asia	Western Asia	8370.1	96.7	51.8	0.9	17.8	5.6	2.1	40
Bahrain	Asia	Western Asia	724.3	1068.3	93.1	2.2	19.9	3.1	2.7	18.1
Cyprus	Asia	Western Asia	801.9	86.7	70.8	0.8	13.2	7.5	1.9	8.2
Georgia	Asia	Western Asia	5125.6	73.5	57	-0.9	10.4	9.9	1.4	21.8
Iraq	Asia	Western Asia	25174.6	57.4	67.4	2.7	35.1	8.8	4.8	107.8
Israel	Asia	Western Asia	6433.4	290.5	92.1	2	19.8	6	2.7	9.3
Jordan	Asia	Western Asia	5472.8	61.3	79	2.7	28	4.3	3.6	27.2
Kuwait	Asia	Western Asia	2521.4	141.5	96.3	3.5	20.2	1.9	2.7	13
Lebanon	Asia	Western Asia	3652.5	351.2	90.7	1.6	19.1	5.4	2.2	19.9
Occupied Palestinian Territory	Asia	Western Asia	3557.5	572.6	67.7	3.6	38.8	4.3	5.6	24.2
Oman	Asia	Western Asia	2851	13.4	77.6	2.9	31.8	3.3	5	23
Qatar	Asia	Western Asia	610.1	55.5	93.3	1.5	17.4	3.7	3.2	14.6
Saudi Arabia	Asia	Western Asia	24217	11.3	87.7	2.9	31.5	3.7	4.5	24.1
Syrian Arab Republic	Asia	Western Asia	17799.5	96.1	52.5	2.4	27.7	3.9	3.3	26.3
