COUNTRY_NAME,IND1_DESC,1999,2000,2001,2002,2003
Armenia,"Population, total",3144000,3112000,3087000,3068000,3056000
Armenia,"Poverty headcount, national (% of population)",53.7,NA,NA,NA,NA
Armenia,"Primary completion rate, female (% of relevant age group)",NA,95.18,95.34,93.12,NA
Armenia,"Primary completion rate, total (% of relevant age group)",NA,94.74,95.16,92.67,NA
Armenia,"School enrollment, primary (% net)",NA,85.19,84.55,NA,NA
Armenia,"School enrollment, secondary (% net)",NA,75.66,84.61,NA,NA
Aruba,Aid per capita (current US$),-82,123.66,-17.89,108.25,NA
Aruba,CO2 emissions (metric tons per capita),21.17,20.68,NA,NA,NA
Aruba,GDP (current US$),1.72E+09,1.86E+09,1.89E+09,1.88E+09,NA
Aruba,GDP growth (annual %),NA,NA,NA,NA,NA
Aruba,"Population, total",90000,93000,95000,97000,NA
Aruba,"School enrollment, primary (% net)",99.63,96.98,98.36,NA,NA
Aruba,"School enrollment, secondary (% net)",79.95,72.05,77.52,NA,NA
Australia,CO2 emissions (metric tons per capita),18.16,17.97,NA,NA,NA
Australia,Electric power consumption (kwh per capita),8884.38,9006.1,9292.47,NA,NA
Australia,Energy use (kg of oil equivalent per capita),5667.95,5723.28,5955.86,NA,NA
Australia,"Fertility rate, total (births per woman)",1.75,1.75,NA,1.75,NA
Australia,GDP (current US$),4.06E+11,3.88E+11,3.69E+11,4.09E+11,5.18E+11
Australia,GDP growth (annual %),4,1.75,3.94,2.74,2.4
Australia,"Life expectancy at birth, total (years)",NA,78.93,NA,79.23,NA
Australia,"Mortality rate, infant (per 1,000 live births)",NA,6,NA,6,NA
Australia,"Mortality rate, under-5 (per 1,000)",NA,6,NA,6,NA
Australia,Population growth (annual %),1.15,1.13,1.2,1.27,1.15
Australia,"Population, total",1.90E+07,1.92E+07,1.94E+07,1.97E+07,1.99E+07
Australia,"School enrollment, primary (% net)",94.94,95.64,95.96,NA,NA
Australia,"School enrollment, secondary (% net)",86.81,89.64,88.48,NA,NA
Austria,CO2 emissions (metric tons per capita),7.65,7.59,NA,NA,NA
Austria,Electric power consumption (kwh per capita),6428.3,6574.76,7030.75,NA,NA
Austria,Energy use (kg of oil equivalent per capita),3609.48,3590.99,3824.83,NA,NA
Austria,"Fertility rate, total (births per woman)",1.34,1.36,1.33,1.31,NA
Austria,GDP (current US$),2.10E+11,1.91E+11,1.90E+11,2.04E+11,2.51E+11
